,dG,filepath
0,-0.6683600000000001,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1w8l/1w8l_pocket.pdb
1,-1.11848,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1wkm/1wkm_pocket.pdb
2,-1.3776400000000002,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/2a31/2a31_pocket.pdb
3,-1.74592,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1f9g/1f9g_pocket.pdb
4,-1.7732,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1b74/1b74_pocket.pdb
5,-1.85504,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1qpb/1qpb_pocket.pdb
6,-1.9096,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/2hdq/2hdq_pocket.pdb
7,-1.96416,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1utp/1utp_pocket.pdb
8,-2.03236,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1tnk/1tnk_pocket.pdb
9,-2.1824000000000003,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1w8m/1w8m_pocket.pdb
10,-2.26424,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1rdj/1rdj_pocket.pdb
11,-2.34608,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/2hdr/2hdr_pocket.pdb
12,-2.3733600000000004,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1u2y/1u2y_pocket.pdb
13,-2.4552,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1ga8/1ga8_pocket.pdb
14,-2.48248,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1af6/1af6_pocket.pdb
15,-2.48248,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1bra/1bra_pocket.pdb
16,-2.48248,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1d5r/1d5r_pocket.pdb
17,-2.48248,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1y1m/1y1m_pocket.pdb
18,-2.5097600000000004,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1rdn/1rdn_pocket.pdb
19,-2.56432,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1tnl/1tnl_pocket.pdb
20,-2.5916,/net/galaxy/home/koes/alutsky/Downstream/BindingAffinity/v2007/1f2p/1f2p_pocket.pdb
